Note,Category
streaming subscription,Entertainment
amusement ride tickets,Entertainment
music concert,Entertainment
live show tickets,Entertainment
shoes,Shopping
hoodie,Shopping
t-shirt,Shopping
jeans,Shopping
jacket,Shopping
shirt,Shopping
trousers,Shopping
sneakers,Shopping
sandals,Shopping
kurta,Shopping
dress,Shopping
skirt,Shopping
formal shirt,Shopping
winter jacket,Shopping
socks,Shopping
belt,Shopping
cap,Shopping
sunglasses,Shopping
watch,Shopping
handbag,Shopping
wallet purchase,Shopping
innerwear,Shopping
sweater,Shopping
blazer,Shopping
saree,Shopping
ethnic wear,Shopping
sports shoes,Shopping
slippers,Shopping
scarf,Shopping
gloves,Shopping
online shopping order,Shopping
amazon order,Shopping
flipkart order,Shopping
electronics purchase,Shopping
gadget purchase,Shopping
home decor shopping,Shopping
gift purchase,Shopping
accessories purchase,Shopping
mall shopping,Shopping
new phone case,Shopping
doctor consultation,Health
pharmacy bill,Health
medicine purchase,Health
hospital visit,Health
dental checkup,Health
eye checkup,Health
health checkup,Health
gym membership,Health
yoga classes,Health
protein supplement,Health
medical test,Health
blood test,Health
vaccination,Health
physiotherapy session,Health
health insurance premium,Health
vitamins purchase,Health
first aid supplies,Health
clinic fee,Health
surgery cost,Health
lab test fee,Health
diagnostic center bill,Health
orthopedic consultation,Health
skin specialist visit,Health
dietitian consultation,Health
fitness tracker purchase,Health
medical checkup package,Health
eye glasses purchase,Health
contact lens purchase,Health
ambulance charges,Health
prescription refill,Health
therapy session,Health
mental health consultation,Health
covid test,Health
x-ray charges,Health
medical equipment purchase,Health
pain relief medicine,Health
cold and flu medicine,Health
dental filling,Health
root canal treatment,Health
health supplement subscription,Health
college fees,Education
tuition fees,Education
school fees,Education
books purchase,Education
online course,Education
coaching class fee,Education
exam fee,Education
study material,Education
stationery items,Education
laptop for studies,Education
library fine,Education
certification course,Education
workshop fee,Education
seminar registration,Education
textbook purchase,Education
notebook purchase,Education
printing charges,Education
photocopy for assignment,Education
udemy course,Education
coursera subscription,Education
skill development course,Education
language class fee,Education
tutoring fee,Education
entrance exam fee,Education
application fee,Education
hostel fee,Education
project material cost,Education
lab fee,Education
student id card fee,Education
graduation fee,Education
convocation fee,Education
e-learning subscription,Education
competitive exam coaching,Education
spoken english class,Education
computer course fee,Education
music lessons,Education
dance class fee,Education
art class fee,Education
school uniform,Education
educational software license,Education
mobile recharge,Other
document fee,Other
service payment,Other
repair payment,Other
miscellaneous payment,Other
other payment,Other
personal expense,Other
unexpected expense,Other
small expense,Other
general payment,Other
miscellaneous spending,Other
bank charges,Other
atm withdrawal fee,Other
late fee,Other
fine payment,Other
donation,Other
subscription renewal,Other
software subscription,Other
app purchase,Other
courier charges,Other
postage fee,Other
sim card purchase,Other
lended money,Other
borrowed money returned,Other
miscellaneous item,Other
service tax,Other
convenience fee,Other
processing fee,Other
loan repayment,Other
credit card payment,Other
membership fee,Other
annual maintenance charge,Other
unclassified expense,Other
cash withdrawal,Other
miscellaneous purchase,Other
gift for someone,Other
charity donation,Other
pet expense,Other
salon and grooming,Other
misc,Other
